Hyd_Year,Station,Storm,vol_L,vol_m3,peak_Ls,peak_m3s,Load
10,OGI,1,2520800.00,2520.80,59.24,0.06,27.98
10,OGI,2,12703948.00,12703.95,57.09,0.06,25.36
10,OGI,3,6453661.00,6453.66,91.97,0.09,26.94
10,OGI,4,4222356.00,4222.36,82.26,0.08,22.68
10,OGI,5,5434605.00,5434.61,45.08,0.05,6.83
10,OGI,6,8149713.00,8149.71,48.56,0.05,11.53
10,OGI,7,6313634.00,6313.63,47.57,0.05,8.91
11,OGI,1,4290807.00,4290.81,75.27,0.08,42.35
11,OGI,2,4168567.00,4168.57,37.12,0.04,6.17
11,OGI,3,7802963.00,7802.96,33.50,0.03,7.76
11,OGI,4,7176566.00,7176.57,82.66,0.08,40.55
11,OGI,5,5899275.00,5899.28,29.87,0.03,8.63
11,OGI,6,4341604.00,4341.60,38.99,0.04,14.10
11,OGI,7,8626647.00,8626.65,38.82,0.04,6.78
11,OGI,8,18841958.00,18841.96,95.37,0.10,72.79
12,OGI,1,2335508.00,2335.51,47.23,0.05,26.89
12,OGI,2,4467195.00,4467.20,115.48,0.12,71.58
12,OGI,3,5262268.00,5262.27,62.33,0.06,16.94
12,OGI,4,6171619.00,6171.62,62.89,0.06,29.89
12,OGI,5,8742732.00,8742.73,60.48,0.06,19.40
13,OGI,1,4826391.00,4826.39,142.52,0.14,63.01
13,OGI,2,5948767.00,5948.77,91.35,0.09,25.52
13,OGI,3,4471291.00,4471.29,79.23,0.08,10.05
14,OGI,1,3374349.00,3374.35,33.36,0.03,14.64
14,OGI,2,4396516.00,4396.52,91.55,0.09,35.14
14,OGI,3,3745737.00,3745.74,59.04,0.06,13.77
15,OGI,1,2132568.00,2132.57,51.65,0.05,14.43
15,OGI,2,6767504.00,6767.50,83.68,0.08,20.98
15,OGI,3,12490381.00,12490.38,45.56,0.05,9.13
15,OGI,4,6312730.00,6312.73,109.16,0.11,41.64
10,POR,1,5251720.00,5251.72,114.51,0.11,56.34
10,POR,2,28945058.00,28945.06,130.63,0.13,71.51
10,POR,3,15232254.00,15232.25,218.15,0.22,57.35
10,POR,4,9279409.00,9279.41,141.16,0.14,27.03
10,POR,5,10619619.00,10619.62,65.69,0.07,8.49
10,POR,6,15787087.00,15787.09,75.69,0.08,17.03
10,POR,7,12292581.00,12292.58,103.95,0.10,21.39
11,POR,1,8046171.00,8046.17,136.74,0.14,62.74
11,POR,2,8461525.00,8461.53,77.84,0.08,9.87
11,POR,3,15544437.00,15544.44,61.02,0.06,10.16
11,POR,4,15586793.00,15586.79,179.30,0.18,59.18
11,POR,5,10962074.00,10962.07,58.16,0.06,14.57
11,POR,6,8912687.00,8912.69,86.90,0.09,21.36
11,POR,7,17808268.00,17808.27,83.68,0.08,16.47
11,POR,8,38152769.00,38152.77,200.09,0.20,141.86
12,POR,1,4365297.00,4365.30,82.46,0.08,25.77
12,POR,2,9287019.00,9287.02,192.41,0.19,80.69
12,POR,3,10087741.00,10087.74,121.76,0.12,18.36
12,POR,4,13479337.00,13479.34,131.79,0.13,47.22
12,POR,5,18324369.00,18324.37,115.36,0.12,27.29
13,POR,1,11550772.00,11550.77,256.32,0.26,137.03
13,POR,2,12999523.00,12999.52,179.95,0.18,40.13
13,POR,3,9832683.00,9832.68,139.69,0.14,21.99
14,POR,1,5820122.00,5820.12,50.55,0.05,12.49
14,POR,2,9097792.00,9097.79,172.90,0.17,41.83
14,POR,3,7845174.00,7845.17,106.90,0.11,26.44
15,POR,1,5239367.00,5239.37,106.10,0.11,0.16
15,POR,2,15632014.00,15632.01,185.48,0.19,1.86
15,POR,3,29810461.00,29810.46,99.48,0.10,2.21
15,POR,4,14380971.00,14380.97,197.06,0.20,7.07
10,QUE,1,52235136.16,52235.14,986.27,0.99,19.78
10,QUE,2,400699619.50,400699.62,1701.27,1.70,67.89
10,QUE,3,225787799.30,225787.80,3086.53,3.09,105.05
10,QUE,4,119864096.90,119864.10,1436.23,1.44,18.82
10,QUE,5,150708805.60,150708.81,900.76,0.90,8.13
10,QUE,6,213278716.90,213278.72,876.69,0.88,NA
10,QUE,7,133986489.30,133986.49,964.75,0.96,7.49
12,QUE,1,45596546.14,45596.55,829.12,0.83,11.04
12,QUE,2,132893408.70,132893.41,2336.99,2.34,62.79
12,QUE,3,146916500.80,146916.50,1572.15,1.57,27.92
12,QUE,4,250260276.50,250260.28,2520.48,2.52,121.82
12,QUE,5,299768197.30,299768.20,1741.20,1.74,49.13
14,QUE,1,59898613.69,59898.61,378.88,0.38,5.14
14,QUE,2,127807859.80,127807.86,2126.59,2.13,50.28
14,QUE,3,113715351.30,113715.35,1430.00,1.43,14.27
15,QUE,1,80171583.21,80171.58,1394.04,1.39,14.64
15,QUE,2,217635958.90,217635.96,2529.26,2.53,62.49
15,QUE,3,423016225.50,423016.23,1304.84,1.30,22.18
15,QUE,4,225383928.10,225383.93,2871.32,2.87,75.62
10,RIC,1,6619488.08,6619.49,120.57,0.12,17.50
10,RIC,2,41352413.96,41352.41,165.62,0.17,39.90
10,RIC,3,22324112.22,22324.11,279.63,0.28,56.07
10,RIC,4,11783427.51,11783.43,117.66,0.12,10.59
10,RIC,5,16124099.02,16124.10,89.62,0.09,4.43
10,RIC,6,22611820.53,22611.82,84.10,0.08,6.72
10,RIC,7,15236333.36,15236.33,87.02,0.09,4.69
11,RIC,1,9512106.46,9512.11,143.62,0.14,17.17
11,RIC,2,11661866.88,11661.87,89.31,0.09,6.68
11,RIC,3,22064512.29,22064.51,70.71,0.07,5.70
11,RIC,4,22984105.47,22984.11,214.75,0.21,38.24
11,RIC,5,12421517.15,12421.52,57.91,0.06,5.18
11,RIC,6,12811972.97,12811.97,111.91,0.11,14.55
11,RIC,7,23621143.42,23621.14,100.72,0.10,10.10
11,RIC,8,55679835.81,55679.84,205.81,0.21,64.47
12,RIC,1,5123805.46,5123.81,89.96,0.09,8.50
12,RIC,2,12395991.25,12395.99,188.79,0.19,24.73
12,RIC,3,14529498.46,14529.50,130.88,0.13,4.10
12,RIC,4,20888236.38,20888.24,194.82,0.19,29.43
12,RIC,5,28020848.66,28020.85,139.35,0.14,9.10
13,RIC,1,15241002.23,15241.00,272.72,0.27,71.19
13,RIC,2,15880359.33,15880.36,159.93,0.16,11.74
13,RIC,3,14585078.11,14585.08,151.89,0.15,4.26
14,RIC,1,8070984.59,8070.98,51.31,0.05,5.64
14,RIC,2,11764459.78,11764.46,169.76,0.17,17.97
14,RIC,3,10939935.96,10939.94,106.24,0.11,5.68
15,RIC,1,8928856.21Ê,8928.86Ê,196.99,0.20,14.80
15,RIC,2,21289932.84,21289.93Ê,234.43,0.23,28.91
15,RIC,3,43661007.34,43661.01Ê,131.73,0.13,13.95
15,RIC,4,22614350.36,22614.35Ê,282.12,0.28,51.72
10,SEQ,1,1412233.97,1412.23,33.07,0.03,5.83
10,SEQ,2,14451675.06,14451.68,79.06,0.08,70.06
10,SEQ,3,7988737.32,7988.74,132.64,0.13,72.56
10,SEQ,4,4237371.15,4237.37,58.39,0.06,15.83
10,SEQ,5,6156413.25,6156.41,40.63,0.04,11.31
10,SEQ,6,8859616.54,8859.62,41.97,0.04,10.83
10,SEQ,7,5129713.08,5129.71,40.63,0.04,3.93
11,SEQ,1,2658466.70,2658.47,47.29,0.05,22.98
11,SEQ,2,3187462.53,3187.46,30.64,0.03,7.44
11,SEQ,3,8809742.15,8809.74,33.44,0.03,19.76
11,SEQ,4,9046089.46,9046.09,131.47,0.13,171.37
11,SEQ,5,5095764.36,5095.76,22.13,0.02,8.81
11,SEQ,6,5417563.95,5417.56,53.69,0.05,28.99
11,SEQ,7,9459274.61,9459.28,40.44,0.04,20.65
11,SEQ,8,19577898.60,19577.90,108.51,0.11,82.26
12,SEQ,1,1200920.00,1200.92,21.52,0.02,NA
12,SEQ,2,4490160.00,4490.16,89.68,0.09,43.57
12,SEQ,3,5494403.00,5494.40,67.99,0.07,19.29
12,SEQ,4,10068731.00,10068.73,114.26,0.11,111.61
12,SEQ,5,11891542.00,11891.54,83.68,0.08,37.32
13,SEQ,1,4852489.86,4852.49,110.41,0.11,54.17
13,SEQ,2,6927923.61,6927.92,101.03,0.10,24.05
13,SEQ,3,6144263.65,6144.26,94.52,0.09,8.51
14,SEQ,1,1398683.00,1398.68,9.47,0.01,NA
14,SEQ,2,4240611.00,4240.61,83.19,0.08,37.80
14,SEQ,3,4008287.00,4008.29,60.34,0.06,12.26
15,SEQ,1,2192680.00,2192.68,43.13,0.04,6.73
15,SEQ,2,6946486.00,6946.49,96.84,0.10,52.44
15,SEQ,3,15391115.00,15391.11,52.84,0.05,16.19
15,SEQ,4,8246820.00,8246.82,135.86,0.14,145.54
10,SFC,1,57261498.42,57261.50,1068.68,1.07,7.44
10,SFC,2,430640218.00,430640.22,1800.38,1.80,50.41
10,SFC,3,240894715.80,240894.72,3259.26,3.26,67.87
10,SFC,4,127220427.80,127220.43,1530.81,1.53,15.70
10,SFC,5,161299792.90,161299.79,958.81,0.96,7.04
10,SFC,6,229390070.00,229390.07,931.06,0.93,9.93
10,SFC,7,144450186.90,144450.19,1033.85,1.03,6.23
11,SFC,1,88605207.47,88605.21,1485.22,1.49,15.75
11,SFC,2,116425061.80,116425.06,1042.34,1.04,10.43
11,SFC,3,234084276.20,234084.28,844.69,0.84,11.68
11,SFC,4,250168292.20,250168.29,2781.84,2.78,75.60
11,SFC,5,147612108.70,147612.11,709.05,0.71,7.72
11,SFC,6,149469787.10,149469.79,1345.33,1.35,19.50
11,SFC,7,267368420.60,267368.42,1165.80,1.17,20.29
11,SFC,8,524741203.30,524741.20,2273.56,2.27,77.29
12,SFC,1,49479676.50,49479.68,897.93,0.90,8.15
12,SFC,2,144808585.80,144808.59,2490.75,2.49,35.69
12,SFC,3,156836040.10,156836.04,1674.37,1.67,14.74
12,SFC,4,264516822.50,264516.82,2650.17,2.65,89.82
12,SFC,5,11236791.60,11236.79,1841.44,1.84,40.88
14,SFC,1,64479654.06,64479.65,410.31,0.41,4.85
14,SFC,2,136762940.20,136762.90,2263.93,2.26,28.89
14,SFC,3,124037672.70,124037.70,1517.21,1.52,12.70
15,SFC,1,85729191.29,85729.19,1485.22,1.49,11.06
15,SFC,2,230963623.20,230963.62,2681.03,2.68,47.79
15,SFC,3,458587013.70,458587.01,1378.18,1.38,23.58
15,SFC,4,238494799.00,238494.80,3049.72,3.05,63.28
10,TRE,1,2722066.35,2722.07,49.75,0.05,11.91
10,TRE,2,18206632.59,18206.63,71.90,0.07,39.15
10,TRE,3,9715561.47,9715.56,119.04,0.12,59.36
10,TRE,4,5382625.55,5382.63,55.47,0.06,9.57
10,TRE,5,6589656.90,6589.66,35.28,0.04,2.48
10,TRE,6,9714022.17,9714.02,34.60,0.03,4.96
10,TRE,7,6125554.17,6125.55,35.96,0.04,4.11
11,TRE,1,3956536.85,3956.54,57.77,0.06,24.26
11,TRE,2,5306320.72,5306.32,41.57,0.04,6.88
11,TRE,3,10375600.60,10375.60,36.78,0.04,11.70
11,TRE,4,9319356.21,9319.36,96.65,0.10,79.08
11,TRE,5,5829081.69,5829.08,25.17,0.03,6.52
11,TRE,6,5656277.97,5656.28,47.43,0.05,20.92
11,TRE,7,10288818.67,10288.82,41.94,0.04,8.72
11,TRE,8,20239245.91,20239.25,78.83,0.08,52.55
12,TRE,1,2157023.69,2157.02,35.40,0.04,15.18
12,TRE,2,5282093.71,5282.09,85.04,0.09,40.21
12,TRE,3,5961263.50,5961.26,56.01,0.06,10.50
12,TRE,4,9350509.22,9350.51,88.86,0.09,60.92
12,TRE,5,11960080.17,11960.08,61.67,0.06,24.96
13,TRE,1,6260567.54,6260.57,113.41,0.11,87.23
13,TRE,2,6941844.27,6941.84,70.57,0.07,18.65
13,TRE,3,6291244.83,6291.24,69.12,0.07,8.65
14,TRE,1,3288731.56,3288.73,19.41,0.02,5.82
14,TRE,2,5092920.90,5092.92,74.59,0.07,31.56
14,TRE,3,4735475.61,4735.48,48.73,0.05,8.30
15,TRE,1,3747179.13,3747.18,57.09,0.06,4.26
15,TRE,2,8891277.55,8891.28,108.57,0.11,16.74
15,TRE,3,19159898.41,19159.90,58.33,0.06,22.84
15,TRE,4,9074114.60,9074.11,121.88,0.12,47.16
10,UQL,1,1627502.19,1627.50,26.20,0.03,2.16
10,UQL,2,14198818.15,14198.82,74.13,0.07,8.88
10,UQL,3,7852787.79,7852.79,129.46,0.13,55.12
10,UQL,4,4575080.08,4575.08,72.80,0.07,8.16
10,UQL,5,5240369.31,5240.37,35.37,0.04,1.20
10,UQL,6,7896316.38,7896.32,36.78,0.04,NA
10,UQL,7,4680706.90,4680.71,42.16,0.04,NA
11,UQL,1,2490340.00,2490.34,41.57,0.04,7.28
11,UQL,2,4218070.00,4218.07,44.54,0.04,5.60
11,UQL,3,7837891.00,7837.89,32.79,0.03,2.16
11,UQL,4,7844117.00,7844.12,118.51,0.12,67.36
11,UQL,5,4869711.00,4869.71,26.20,0.03,1.92
11,UQL,6,5428764.00,5428.76,51.85,0.05,12.96
11,UQL,7,9051803.00,9051.80,45.02,0.05,4.72
11,UQL,8,16508195.00,16508.19,82.09,0.08,9.84
12,UQL,1,1394168.00,1394.17,23.85,0.02,NA
12,UQL,2,5155852.00,5155.85,100.13,0.10,14.08
12,UQL,3,5631135.00,5631.14,73.09,0.07,4.48
12,UQL,4,9310205.00,9310.21,113.24,0.11,32.72
12,UQL,5,10478656.00,10478.66,76.09,0.08,19.92
13,UQL,1,6063294.00,6063.29,143.06,0.14,19.36
13,UQL,2,6158349.00,6158.35,82.85,0.08,2.16
13,UQL,3,5466776.00,5466.78,83.17,0.08,2.80
14,UQL,1,1293038.00,1293.04,9.02,0.01,0.96
14,UQL,2,4804894.00,4804.89,91.27,0.09,7.68
14,UQL,3,4323902.00,4323.90,67.08,0.07,5.52
15,UQL,1,3432900.00,3432.90,62.64,0.06,161.52
15,UQL,2,8563711.00,8563.71,120.83,0.12,1375.60
15,UQL,3,15540121.00,15540.12,62.78,0.06,1292.24
15,UQL,4,8578416.00,8578.42,126.38,0.13,3331.52
10,WIL,1,3269712.69,3269.71,48.31,0.05,3.70
10,WIL,2,27289830.08,27289.83,120.66,0.12,27.43
10,WIL,3,17212325.54,17212.33,205.13,0.21,47.13
10,WIL,4,8413135.92,8413.14,79.54,0.08,5.36
10,WIL,5,9795528.68,9795.53,53.89,0.05,1.43
10,WIL,6,15245197.08,15245.20,54.31,0.05,3.62
10,WIL,7,9183571.49,9183.57,61.02,0.06,1.81
11,WIL,1,4217028.00,4217.03,68.89,0.07,9.92
11,WIL,2,7511564.00,7511.56,59.92,0.06,4.26
11,WIL,3,15812732.00,15812.73,51.79,0.05,8.23
11,WIL,4,16987000.00,16987.00,175.76,0.18,55.70
11,WIL,5,9208556.00,9208.56,34.32,0.03,4.53
11,WIL,6,9586415.00,9586.42,79.77,0.08,12.15
11,WIL,7,18568418.00,18568.42,83.45,0.08,16.57
11,WIL,8,32572255.00,32572.25,123.46,0.12,38.04
12,WIL,1,2468898.00,2468.90,37.60,0.04,4.49
12,WIL,2,8113763.00,8113.76,123.74,0.12,30.83
12,WIL,3,9626822.00,9626.82,93.25,0.09,10.11
12,WIL,4,17326703.00,17326.70,168.12,0.17,82.83
12,WIL,5,21312983.00,21312.98,112.05,0.11,18.75
13,WIL,1,9237919.00,9237.92,173.53,0.17,37.51
13,WIL,2,10224069.00,10224.07,105.82,0.11,11.51
13,WIL,3,11161030.00,11161.03,128.59,0.13,12.00
14,WIL,1,2505199.00,2505.20,17.13,0.02,2.45
14,WIL,2,8157753.00,8157.75,123.74,0.12,20.38
14,WIL,3,7120084.00,7120.08,82.20,0.08,8.79
15,WIL,1,5951209.00,5951.21,91.21,0.09,177.02
15,WIL,2,15153000.00,15153.00,174.80,0.17,764.60
15,WIL,3,29503471.00,29503.47,89.68,0.09,377.21
15,WIL,4,14612426.00,14612.43,173.53,0.17,1012.53
10,XRA,1,1479052.00,1479.05,25.24,0.03,1.64
10,XRA,2,13632149.00,13632.15,69.46,0.07,18.36
10,XRA,3,8536163.00,8536.16,118.31,0.12,27.76
10,XRA,4,5058118.00,5058.12,75.07,0.08,8.42
10,XRA,5,6209076.00,6209.08,43.78,0.04,2.19
10,XRA,6,11446757.00,11446.76,50.09,0.05,6.28
10,XRA,7,6236389.00,6236.39,39.59,0.04,2.51
11,XRA,1,2258629.00,2258.63,33.50,0.03,4.86
11,XRA,2,2772498.00,2772.50,20.02,0.02,0.66
11,XRA,3,10593469.00,10593.47,53.72,0.05,9.07
11,XRA,4,10311523.00,10311.52,116.41,0.12,40.11
11,XRA,5,4750067.00,4750.07,19.29,0.02,1.97
11,XRA,6,5849217.00,5849.22,50.77,0.05,8.25
11,XRA,7,11951697.00,11951.70,57.79,0.06,8.52
11,XRA,8,24025144.00,24025.14,135.44,0.14,76.01
12,XRA,1,1872608.00,1872.61,26.80,0.03,3.77
12,XRA,2,4430159.00,4430.16,114.34,0.11,34.04
12,XRA,3,6170632.00,6170.63,68.13,0.07,13.01
12,XRA,4,11357588.00,11357.59,124.03,0.12,58.25
12,XRA,5,13931969.00,13931.97,80.45,0.08,24.86
13,XRA,1,5018015.00,5018.02,117.54,0.12,23.22
13,XRA,2,8059716.00,8059.72,145.46,0.15,30.11
13,XRA,3,5724017.00,5724.02,65.86,0.07,4.70
14,XRA,1,2066747.00,2066.75,13.41,0.01,1.15
14,XRA,2,4446416.00,4446.42,89.45,0.09,13.99
14,XRA,3,3937954.00,3937.95,46.55,0.05,3.50
15,XRA,1,1459844.00,1459.84,24.65,0.02,14.43
15,XRA,2,6847029.00,6847.03,79.03,0.08,20.98
15,XRA,3,16662245.00,16662.24,66.80,0.07,9.13
15,XRA,4,8123560.00,8123.56,116.41,0.12,41.64
10,XYZ,1,8885085.00,8885.09,120.43,0.12,2.30
10,XYZ,2,72429442.00,72429.44,341.50,0.34,28.60
10,XYZ,3,40685275.00,40685.27,512.25,0.51,36.91
10,XYZ,4,26263188.00,26263.19,335.55,0.34,12.32
10,XYZ,5,29599446.00,29599.45,187.46,0.19,1.58
10,XYZ,6,52089988.00,52089.99,200.17,0.20,5.10
10,XYZ,7,29320598.00,29320.60,186.07,0.19,1.63
11,XYZ,1,10950283.00,10950.28,133.34,0.13,2.85
11,XYZ,2,15757064.00,15757.06,115.90,0.12,1.00
11,XYZ,3,49787612.00,49787.61,206.15,0.21,7.89
11,XYZ,4,45574451.00,45574.45,470.63,0.47,32.19
11,XYZ,5,26689678.00,26689.68,109.47,0.11,3.76
11,XYZ,6,25702664.00,25702.66,214.24,0.21,7.83
11,XYZ,7,52849547.00,52849.55,241.20,0.24,6.98
11,XYZ,8,104000000.00,104143.90,502.91,0.50,48.99
12,XYZ,1,8709259.00,8709.26,117.40,0.12,3.54
12,XYZ,2,21867913.00,21867.91,449.10,0.45,32.00
12,XYZ,3,28253132.00,28253.13,307.80,0.31,9.39
12,XYZ,4,50336121.00,50336.12,522.16,0.52,58.07
12,XYZ,5,56209131.00,56209.13,311.48,0.31,15.20
13,XYZ,1,22665813.31,22665.81,427.87,0.43,18.81
13,XYZ,2,33871917.90,33871.92,477.42,0.48,21.10
13,XYZ,3,26337393.38,26337.39,295.06,0.30,2.19
14,XYZ,1,9503617.00,9503.62,57.26,0.06,1.21
14,XYZ,2,19399002.00,19399.00,311.48,0.31,11.80
14,XYZ,3,17874351.00,17874.35,193.91,0.19,3.20
15,XYZ,1,8689999.00,8690.00,113.92,0.11,8.04
15,XYZ,2,31793493.00,31793.49,309.22,0.31,20.23
15,XYZ,3,70332545.00,70332.54,254.43,0.25,9.47
15,XYZ,4,35929199.00,35929.20,445.71,0.45,21.10
10,YOC,1,6819696.00,6819.70,107.97,0.11,5.75
10,YOC,2,51246320.00,51246.32,237.44,0.24,75.50
10,YOC,3,31707832.00,31707.83,405.50,0.41,204.57
10,YOC,4,16464708.00,16464.71,191.28,0.19,25.61
10,YOC,5,19590876.00,19590.88,114.82,0.11,20.11
10,YOC,6,33481652.00,33481.65,116.55,0.12,25.33
10,YOC,7,19178781.00,19178.78,125.81,0.13,12.68
11,YOC,1,10198451.00,10198.45,186.10,0.19,31.00
11,YOC,2,14932436.00,14932.44,124.48,0.12,14.22
11,YOC,3,31667717.00,31667.72,100.86,0.10,16.20
11,YOC,4,33122815.00,33122.82,389.07,0.39,282.80
11,YOC,5,19673068.00,19673.07,81.81,0.08,16.52
11,YOC,6,18374880.00,18374.88,158.52,0.16,46.43
11,YOC,7,33855657.00,33855.66,151.75,0.15,46.14
11,YOC,8,62289894.00,62289.89,257.48,0.26,172.74
12,YOC,1,4842807.00,4842.81,80.28,0.08,9.66
12,YOC,2,18177019.00,18177.02,309.22,0.31,90.76
12,YOC,3,18306524.00,18306.52,189.21,0.19,39.77
12,YOC,4,33501222.00,33501.22,342.92,0.34,342.19
12,YOC,5,38592722.00,38592.72,216.34,0.22,86.60
13,YOC,1,18884491.00,18884.49,371.52,0.37,178.34
13,YOC,2,23368746.00,23368.75,248.82,0.25,48.58
13,YOC,3,22689029.00,22689.03,278.13,0.28,59.15
14,YOC,1,5854433.00,5854.43,44.88,0.04,1.47
14,YOC,2,16617450.00,16617.45,285.43,0.29,46.45
14,YOC,3,16995479.00,16995.48,197.06,0.20,16.28
15,YOC,1,12094679.00,12094.68,189.72,0.19,109.13
15,YOC,2,31007659.00,31007.66,383.69,0.38,465.77
15,YOC,3,58319102.00,58319.10,170.84,0.17,165.33
15,YOC,4,31280122.00,31280.12,392.47,0.39,563.65
10,ZIE,1,3821197.27,3821.20,61.25,0.06,6.92
10,ZIE,2,26809754.99,26809.75,135.55,0.14,28.70
10,ZIE,3,15512333.81,15512.33,204.14,0.20,33.20
10,ZIE,4,8374738.34,8374.74,94.01,0.09,10.00
10,ZIE,5,9629462.55,9629.46,54.54,0.05,1.82
10,ZIE,6,16157338.41,16157.34,55.16,0.06,3.91
10,ZIE,7,9426871.13,9426.87,60.80,0.06,2.61
11,ZIE,1,5751504.14,5751.50,99.19,0.10,13.52
11,ZIE,2,8421852.51,8421.85,66.15,0.07,5.49
11,ZIE,3,15616318.20,15616.32,50.97,0.05,4.70
11,ZIE,4,17797963.40,17797.96,203.46,0.20,70.16
11,ZIE,5,10554860.55,10554.86,51.17,0.05,6.28
11,ZIE,6,10002568.10,10002.57,85.43,0.09,12.37
11,ZIE,7,18746492.38,18746.49,90.95,0.09,9.29
11,ZIE,8,31283045.96,31283.05,133.80,0.13,31.98
12,ZIE,1,2983555.00,2983.56,49.53,0.05,5.61
12,ZIE,2,9037670.00,9037.67,173.53,0.17,34.35
12,ZIE,3,9788396.00,9788.40,105.28,0.11,10.63
12,ZIE,4,19043849.00,19043.85,206.83,0.21,73.75
12,ZIE,5,22032807.00,22032.81,126.32,0.13,25.22
13,ZIE,1,10603130.00,10603.13,222.68,0.22,40.00
13,ZIE,2,11802963.00,11802.96,122.89,0.12,14.27
13,ZIE,3,11396497.00,11396.50,144.13,0.14,11.46
14,ZIE,1,3634461.00,3634.46,25.12,0.03,2.89
14,ZIE,2,9396335.00,9396.34,157.50,0.16,15.42
14,ZIE,3,8535472.00,8535.47,104.49,0.10,6.01
15,ZIE,1,6884122.17,6884.12,113.98,0.11,28.54
15,ZIE,2,15946428.66,15946.43,204.14,0.20,55.77
15,ZIE,3,28148773.77,28148.77,84.44,0.08,26.92
15,ZIE,4,15887278.71,15887.28,197.06,0.20,99.76